project_id,project_name,sector,implementing_agency,state,district,latitude,longitude,current_stage,target_duration_months,elapsed_months,total_land_required_ha,private_land_ha,government_land_ha,forest_land_ha,parcels_count,owners_count,budget_inr_cr,compensation_disbursed_pct,active_court_disputes,cadastral_digitized_pct,aadhaar_seeded_pct,sia_objection_rate_pct,rr_packages_pending_pct,forest_clearance_status,environment_clearance_status,utility_shifting_pending,collector_meetings_last_quarter,primary_bottleneck,delay_probability,risk_tier,is_delayed,delay_months_predicted
LW-IN-WB-HOW-1011,West Bengal Howrah Dedicated Freight Corridor Yard - Sec 11,High Speed Rail / Rail,DFCCIL,West Bengal,Howrah,22.5958,88.2636,Section 11 Notification,36,25,310.00,260.00,50.00,0.00,980,2450,490.00,15.0,26,46.0,59.0,31.5,48.0,Not Applicable,In-Review,18,1,R&R Resettlement Package Disputes,0.8920,High,1,20
LW-IN-BI-PAT-1012,Bihar Patna Airport Metro Link Corridor - Sec 12,Metro Rail Transit,DMRC,Bihar,Patna,25.5941,85.1376,Section 23 Award Inquiry,26,17,110.00,95.00,15.00,0.00,490,1350,330.00,58.0,8,62.0,74.0,13.0,18.0,Not Applicable,Approved,6,3,Slow Direct Benefit Transfer (PFMS),0.4210,Medium,0,3
LW-IN-MA-THA-1013,Maharashtra Thane Bullet Train Feeder Line - Sec 13,High Speed Rail / Rail,NHSRCL,Maharashtra,Thane,19.2183,72.9781,Section 19 Declaration,40,32,380.00,270.00,60.00,50.00,1120,2900,910.00,39.0,29,52.0,68.0,29.0,46.0,Stage 1 Pending,Terms of Reference Issued,19,1,Forest & Wildlife Stage-II Clearance,0.9120,High,1,21
LW-IN-UP-LUC-1014,Uttar Pradesh Lucknow Defense Industrial Hub - Sec 14,Industrial Corridors / Logistics,UPSIDA,Uttar Pradesh,Lucknow,26.8467,80.9462,Section 38 Possession Handover,24,20,520.00,390.00,130.00,0.00,960,1780,480.00,89.0,3,91.0,94.0,5.0,7.0,Not Applicable,Approved,3,4,Standard Procedural Progress,0.1650,Low,0,1
LW-IN-GU-SUR-1015,Gujarat Surat Expressway Bypass - Sec 15,Expressway / Highway,MoRTH,Gujarat,Surat,21.1702,72.8311,Section 23 Award Inquiry,30,21,340.00,280.00,60.00,0.00,820,1890,520.00,65.0,7,84.0,91.0,9.0,12.0,Not Applicable,Approved,4,4,Standard Procedural Progress,0.2850,Low,0,2
LW-IN-KA-MYS-1016,Karnataka Mysuru Inter-State Coastal Highway - Sec 16,Expressway / Highway,NHAI,Karnataka,Mysuru,12.2958,76.6394,Section 11 Notification,34,16,460.00,330.00,80.00,50.00,990,2250,440.00,18.0,12,61.0,73.0,17.0,24.0,Stage 2 Pending,In-Review,9,2,Forest & Wildlife Stage-II Clearance,0.6120,Medium,1,7
LW-IN-TN-COI-1017,Tamil Nadu Coimbatore Electronic Manufacturing Cluster - Sec 17,Industrial Corridors / Logistics,TIDCO,Tamil Nadu,Coimbatore,11.0168,76.9558,Section 38 Possession Handover,22,18,310.00,240.00,70.00,0.00,620,1190,360.00,91.5,2,94.0,97.0,4.0,5.0,Not Applicable,Approved,2,5,Standard Procedural Progress,0.1150,Low,0,0
LW-IN-MP-IND-1018,Madhya Pradesh Indore Metro Depot & Multimodal Hub - Sec 18,Metro Rail Transit,UPMRC,Madhya Pradesh,Indore,22.7196,75.8577,Section 23 Award Inquiry,28,19,160.00,125.00,35.00,0.00,510,1240,430.00,61.0,9,79.0,86.0,12.0,15.0,Not Applicable,Approved,5,3,Pending High-Tension/Pipeline Utility Shifting,0.3750,Low,0,2
LW-IN-RJ-JOD-1019,Rajasthan Jodhpur Green Hydrogen Corridor - Sec 19,Renewable Energy / Solar Park,NTPC,Rajasthan,Jodhpur,26.2389,73.0243,Section 19 Declaration,26,17,1100.00,280.00,820.00,0.00,580,940,380.00,72.0,5,86.0,90.0,7.0,9.0,Not Applicable,Approved,3,4,Standard Procedural Progress,0.2240,Low,0,1
LW-IN-AP-GUR-1020,Andhra Pradesh Guntur Pressurized Irrigation Pipeline - Sec 20,Irrigation & Water Resources,State Water Resources Dept,Andhra Pradesh,Guntur,16.3067,80.4365,Section 19 Declaration,36,27,780.00,620.00,130.00,30.00,1850,4200,610.00,36.0,24,51.0,64.0,27.0,41.0,Stage 1 Pending,Terms of Reference Issued,15,1,Litigation in District / High Court,0.8650,High,1,17
